Index,Correlation Coefficient,Genes
10584,0.11885659869019916,MBL1P
18998,0.11866266376353257,VPS13A
19861,0.11859942943138378,ZNF582
14278,0.11846869447259845,PTTG1IP
4245,0.11844492142056584,CRMP1
2613,0.11842559563355447,FAXC
10696,0.11830883913183016,MEF2B
15970,0.11802502872515507,SLC14A2
19254,0.11798913241004812,XIRP2
18362,0.11764435948840692,TRPS1
12284,0.11761137394357903,OR10T2
759,0.1175195460494773,ANTXR1
16953,0.11748386681243558,ST8SIA5
8456,0.11745641328786735,IA1
17092,0.1173050043318304,SULF1
19404,0.11724975403413088,ZC3HAV1L
14298,0.11724856095935685,ED4
16451,0.11706005003959816,SNORA11E
7683,0.11700303513795535,HELB
13106,0.11699502462328319,PEBP4
13798,0.1169259727030215,PPP1R1C
3619,0.11680395542367568,CFB
14758,0.11679420950133576,RGL1
778,0.11674845776084498,ANXA8
18995,0.11673608590077356,VPREB1
12711,0.11671977509052607,P2RX7
20048,0.11661826154754937,ZNF846
5503,0.11660765554841572,STGD2
19920,0.11660682976447337,ZNF665
17834,0.11653164803803438,TMEM176A
17425,0.11652741037672817,TCF7L1
13818,0.11644590738098419,PPP2R2A
2943,0.11631897898298386,VRNI
12796,0.11618595813655035,PAOX
3113,0.1161460517251857,CCDC160
13285,0.11610919982388884,PIGC
8802,0.1160931028592859,KCTD1
2281,0.1160617217247561,RBBP8NL
2900,0.11600721833758268,CALML3
7000,0.1159902294846868,GJB7
14731,0.11589771663846955,RFPL1S
14341,0.1158720192467642,QRFPR
13697,0.11586464496348362,POU3F1
18782,0.11571946476425539,UNC13C
12162,0.11570493118168274,NXT2
4416,0.11570097234183248,CTTNBP2
198,0.11568609880890922,ACP6
1002,0.11568310206856192,ARL4D
13101,0.11564705048552414,PDZRN3
5836,0.11561354708380112,FAM110C
12392,0.11557149385239927,OR2T4
14086,0.11547113838502726,PRTG
18758,0.1154362326087065,UGT2B7
11164,0.11529902779897859,MST1R
14890,0.11528626518951124,RNASE3
8668,0.11521360112676961,KANK2
5227,0.11509533533053805,DUSP12
16675,0.11508850862781586,SPACA1
10501,0.11507515564955981,MAP7D3
6158,0.11506629134145056,FANCE
5700,0.11505749991869565,ETAA1
19212,0.1150283480160603,WNT3
16838,0.11502622938201974,SQLE
13476,0.11496515081855326,PLEKHG5
18031,0.11482429151568886,TNFRSF10C
528,0.11477610388478608,ALB
17551,0.1146806531598613,TGFB1I1
18233,0.11462957298572082,TREML1
18753,0.11461555428566673,UGT2B10
386,0.1145214594368679,AEBP1
19449,0.11444653894336819,ZDHHC7
9412,0.1144278571752607,LEAP2
11437,0.11431665601119329,NAMPT
6784,0.11430661606164928,GALNT14
4042,0.11430004426475882,COL3A1
12630,0.1141070885863595,ORM1
666,0.11405490889467318,ANKAR
13323,0.11401581017704239,PIKFYVE
94,0.11400604330562994,ABCD2
11739,0.11399485804995431,NFKBIZ
18289,0.11399094155556133,TRIM50A
11879,0.11393007678310908,NOG
9262,0.1138350694287191,KRTAP4-8
3209,0.11375968334369074,CCL15-CCL14
10513,0.11362891592998167,MAPK4
5566,0.11361308423854598,ENPP7
16178,0.11357850269024898,SLC38A1
12112,0.11356901642312758,NUDT9
16487,0.11349039143468016,SNORA44
4824,0.11344012392634259,DEPDC7
5309,0.11340109006400102,ECEL1
11332,0.11339148566065085,MYL2
5595,0.11331729311234796,EPDR1
13968,0.11329551613480345,PRKX
5048,0.11328289790599518,DNAJC25-GNG10
4813,0.11328179316418319,DENND4A
5949,0.11317435930833696,EVA1A
19996,0.11301847726061978,ZNF774
16038,0.11295359606810747,SLC23A3
11239,0.11286461568219636,MTRR
6022,0.11284624487562168,FAM35A
2927,0.11279246174598466,CAMTA2
9746,0.11275484570827402,LINC00608
18581,0.11270421735896675,TXLNG
7737,0.11266724393233514,HHLA2
673,0.11264867020559499,ANKIB1
13214,0.11257801490489704,FLJ12967
10457,0.1124296037204374,MANSC1
11490,0.11240707009927278,NBPF4
19645,0.11239975309678986,ZNF26
15097,0.1123865934719098,RPL36AL
8652,0.11236767447212612,JPH2
19998,0.11232401167018315,ZNF776
3633,0.11221575277125583,CFL1P1
11603,0.11219578919056102,NDRG1
19153,0.11216067019333988,WDR86
4163,0.1121567213541934,CPN2
6375,0.11205236929751955,FRA3B
2827,0.1120472960978371,CA2
2558,0.11199209802006765,CPLANE1
14432,0.11189764913073912,RABGEF1
9747,0.1118906676549723,LBX2-AS1
16629,0.11188806963804855,SORBS2
10108,0.11188437170427455,LOH12CR2
3255,0.1118198433840186,CCNJL
9441,0.11179211529866273,LGALS14
9280,0.11178940567975662,KRTAP9-5
8492,0.11178366662798289,IQCB1
365,0.11176080315585013,ADORA3
4043,0.11157923591517188,COL4A1
9509,0.11152801482059108,LIMS3
11325,0.11148898005061347,MPD1
14693,0.11146498632070123,RELL1
16663,0.11144332030295505,SP140L
15429,0.11119393211136339,SCARNA6
6809,0.11118812881158835,GAP43
10022,0.11115710078773114,OCLNP1
11651,0.11113971415353043,NDUFV1
6609,0.11113710468847883,FRAT1
9332,0.11109404934265599,LARP1
18079,0.11108292934126927,TNNT1
7345,0.11107434032179621,GPT2
11126,0.1110720485274108,IRAG
15025,0.11105066275895666,ROS1
17554,0.1110489672311713,TGFB3
5097,0.11097947154699454,FLJ34238
7288,0.1109071198974739,GPR21
15137,0.110896574576972,RPS12
19506,0.11087057206262786,ZG16B
13458,0.11076797216838569,PLEKHA1
17773,0.11071423055925328,TMEM120A
14845,0.1106677199890667,RIMBP2
5962,0.11065335994095306,FAM182B
6995,0.11044477323441713,GJB2
17117,0.11043326326746701,SUOX
9734,0.11038860902327317,LINC00654
2437,0.11038735939994403,FAM228A
6644,0.11036872377962406,FSHB
12012,0.11033522053279896,NRG4
3178,0.11027968175102953,CCDC81
1439,0.11020768974666409,BCL2L10
17526,0.11018451783056739,TFAP2E
17520,0.11017226269906695,TFAMP1
18210,0.11015797062921245,KIAA0549
11865,0.11010584764970305,NMUR1
18463,0.11005080324051049,TTC21B
14823,0.11004587085152333,RASL7B
2534,0.10991837951565438,C4orf51
12225,0.10989549989940184,OLFML2B
7381,0.10972272648456904,KIAA1220
14743,0.10971194061957787,RFX1
3263,0.10970548199137246,CCNYL1
2344,0.1095293219188382,LINC00515
18215,0.10952780670499643,TRAP1
19496,0.10950389364931935,ZFYVE16
16065,0.10934893617388292,SLC25A29
5880,0.1093405251652254,FAM132A
5089,0.1093096232947149,DNTT
3533,0.10925215117599069,CEACAM8
15285,0.10922300468720045,RXFP1
1545,0.10919434489327487,BMP7
7310,0.1091343093833714,GPR63
559,0.10912657506739581,ALG1L
74,0.10911990350936825,ABCB5
4502,0.10907356327828144,CYB561
16010,0.10900956457588828,SLC1A7
16755,0.10900309383457436,SPHAR
13409,0.10898778714030319,PLA2G4F
7575,0.10894187252963966,HAO1
203,0.10891249426093555,NAAR1
19627,0.10887021619505058,ZNF23
7336,0.10885379895813195,GPRC6A
16542,0.10882632019678684,SNORD116-4
9116,0.10876680524910065,KLK2
8565,0.10870917577184636,ITGA11
18979,0.10869059071647992,VIT
10196,0.10860484972073899,LRRC19
7242,0.10849550192748167,ADGRA2
6381,0.10847568856868779,FLJ22717
6062,0.10847394991742301,NXPE3
6003,0.10840771869275087,FAM20C
1434,0.1083808969266714,BCKDK
7772,0.10836732877037221,HIST1H1T
17388,0.10835559929305459,TBX3
3316,0.10831617127359079,CD248
3321,0.10827188431595504,CD28
20025,0.10826115905884394,ZNF813
8148,0.10811820438945398,HYLS1
17295,0.10810621893324752,TAS2R23
19445,0.10807570429300803,ZDHHC3
4030,0.1080250853363798,COL1A1
7399,0.10795007272078537,GRIP2
11681,0.10786836276921868,SID6-1512
502,0.1078394764150416,AKIRIN1
16244,0.10777072990801362,SLC5A6
11172,0.10776590325599597,MSX2
8229,0.10771601675488154,IFNB1
2895,0.1076720849549431,CALHM2
19193,0.10765011367814133,WIPI2
7044,0.10760323777502431,GLRA3
19731,0.10759740682939385,ZNF410
12640,0.10739872332269705,OSBPL2
6844,0.10735527740920656,GBA3
19503,0.10734433616628214,ZFYVE28
4311,0.10707719595028638,CSNK1A1
2130,0.10705264008625992,C1QL1
3110,0.10694505462922924,CCDC158
2103,0.10683002621317693,TIMM29
1182,0.10670646031638199,ATOH7
13243,0.10663207359488369,PHKG1
5537,0.10660031979314677,EMX1
3500,0.10658018106932114,ARMETL1
16280,0.10657651196553168,SLC7A6
11796,0.106562722900663,NKAIN4
142,0.1065199351308327,ACAD11
16401,0.10650502426732922,SMTN
6164,0.10649085614914852,FANK1
12797,0.10643346901333722,PAPD4
6150,0.1064242980810351,FAM99B
4368,0.10639139251366667,CTBP2
14529,0.10634000951682104,RASA1
6658,0.10633516362261072,FTMT
3777,0.10628637154322748,CIR1
501,0.10628257956833606,AK9
2854,0.10628089771923352,CACNA1E
9563,0.10623012272215616,LMOD1
17704,0.10622711848393467,TM4SF18
10489,0.10622105543649833,ESTF
15646,0.10621964344249475,C13orf21
890,0.1061665984827199,AQP7L
5307,0.10614943670045109,ECE1
17537,0.10611218387354308,TFEC
7040,0.10605401696642026,GLP1R
13602,0.10605353844854086,POGK
20,0.10599332590199813,HSPB1P1
5625,0.10594696266157184,EPS15L1
3962,0.1059174151522287,CNN1
7975,0.10591696053460985,HOXC6
820,0.10589297557513926,APCDD1
6189,0.1058784322725656,FBLL1
11690,0.10584060944257266,NES
19840,0.10581848676051041,ZNF562
7507,0.10573112656257687,GUCY1A2
10112,0.10561700338830098,LONRF1
16701,0.1055926832826829,SPARC
19192,0.10558792407938997,WIPI1
12183,0.10558086861468426,OCEL1
16659,0.10555452130329987,SOX8
3049,0.10555215674791776,CCBE1
9554,0.10536375483015399,LMLN
8094,0.10535681783123671,HSPB2
7067,0.10521281766313255,GLYATL1
15705,0.10521162935944546,SEZ6L2
11717,0.10516014042735917,NFATC1
7222,0.10510813677639745,GPM6B
2463,0.1050962215714651,C3orf33
20000,0.10507991965662697,ZNF778
19374,0.10507163484003217,ZBTB46
2643,0.10504437067755902,C6orf52
1581,0.10502287496404104,VCY2
2484,0.10498273143087429,C3orf62
2767,0.10497223905025807,C9orf152
5570,0.10494362215157083,ENTPD2
225,0.10492091184555176,ACTA2
15468,0.10489878382182305,SCN3B
6312,0.10485351332438755,FER1L6
11132,0.1047162591239569,IGER
9050,0.10468319086851725,KLF13
16272,0.10467703661996115,SLC7A1
6438,0.1046364445426664,FLJ16779
5547,0.10462655774212573,ENDOU
12664,0.10455280585865412,OSTN
7101,0.10453036006761275,GNAS
6230,0.10444983083518294,FBXO25
6792,0.10439883703157556,GALNT8
18790,0.1043454568766154,UNC5C
13189,0.10426108280563658,PGLYRP2
7774,0.1042362661403429,HIST1H2AB
14688,0.10421632406234944,REG3A
372,0.10420492551874999,ADRA1B
3954,0.10415060448627621,ACHM1
2172,0.1041228946839187,AUNIP
1888,0.10403860080986227,C14orf184
19595,0.1040303885796647,ZNF19
10055,0.10401350371823602,FAM133CP
898,0.10397226454719835,ARAP3
7380,0.10392529230657098,GRIA4
19828,0.10392227573633563,ZNF549
18030,0.10387731421246198,TNFRSF10B
9804,0.10385922533594252,PDPR2P
16197,0.10383709940802048,SLC39A6
2639,0.10370043086807516,TMEM242
17731,0.10366507976877125,TMCC2
1920,0.10365927684547366,TMEM266
8293,0.10357746852386517,DYS
17937,0.10354830349682125,TMEM61
9147,0.10352104011666877,MGC12217
4847,0.10348654961077283,DGCR8
1436,0.10345946876119322,BCL11A
9209,0.10345926737002621,KRT80
10788,0.10340344313693614,MGAT3
3499,0.10335323912393116,CDKN3
17216,0.10333486020769483,TAAR5
1828,0.10332091682288963,C12orf75
11837,0.10325789781510045,NLRP2
11849,0.10325080490143064,NME1-NME2
11772,0.10320227612495161,NID1
8630,0.10313568130801996,JAK2
15978,0.10313079630324885,SLC16A13
9358,0.1031060786959327,LBXCOR1
3125,0.10310354246485698,CCDC28B
6607,0.10302499194034523,FPR3
1697,0.10301772320369605,TBATA
19609,0.1029450658726025,ZNF219
1334,0.10289720030138301,B3GNT5
15878,0.10289388322446913,SIGLEC15
6273,0.10283605955967433,FCGBP
15008,0.10283503616169673,ROBO2
13248,0.1028218595636284,PHLDB1
19231,0.10281208483608086,WT1
5562,0.10278101212261931,ENPP3
14698,0.10277921672658415,REM1
15349,0.1027658313662331,SAMD5
18242,0.10275059715591889,TRHR
5896,0.10269178692515517,FAM13B
9117,0.10268843929057882,KLK3
9312,0.1026751440479652,CLM
14187,0.1026015232128337,PTCHD2
8841,0.1024717265854316,KGFLP2
991,0.10245079914921934,ARL14
10995,0.10245023214760605,MPEG1
15484,0.1024442683291091,SCPEP1
10199,0.10242506665097334,LRRC23
2581,0.10240205496850473,TSBP1
6950,0.10230159854946552,GGT8P
6998,0.10229471395957873,GJB5
14922,0.10226222570795244,RNF128
8030,0.10225913377727558,HS3ST3B1
12109,0.1022325894718162,NUDT7
13886,0.10212040191856109,PRCP
8298,0.10210929319439804,IKZF2
6585,0.10206281060218836,RONU
12625,0.10202455431551334,ORC2
6700,0.10197922460655445,FYN
16758,0.10193117351061722,SPHKAP
17186,0.10188728809332993,SYPL2
14789,0.10187046189746,SCZD9
5957,0.10182379313451176,FAM180A
10310,0.10175391238030225,LUC7L3
3672,0.10174485090526299,KIAA1335
10026,0.10163326062793902,ACTG1P4
18801,0.10162445287673985,PLEKHD1
14634,0.1015785531192868,RBP5
11282,0.1015386014385696,MXD4
18081,0.10152239712517545,TNNT3
6212,0.10152098565129217,FBXL22
18514,0.10150655019335332,TTR
12685,0.1014723077777667,OTUD7B
7258,0.10147088806468338,GPR146
12750,0.10146206705158012,PADI2
4388,0.10140755497122095,CTNNBL1
18045,0.10139888926508042,TNFRSF25
7123,0.10135882415481755,GNG8
16271,0.10133409372866246,SLC7A14
10836,0.10132141709262076,MICAL2
7498,0.10130464066494962,GTPBP8
9113,0.10128155063012023,KLK14
18706,0.10125981534790629,UBTF
7346,0.10107446988525821,GPT
709,0.10104451561383236,ANKRD34B
19052,0.10099162989629744,VWA3B
9210,0.10094543178535412,KRT81
16006,0.10094429692980923,SLC1A3
5826,0.10090699336591968,FAM107A
294,0.10090649757217471,ADAMTS14
1406,0.1008804329225158,BBOX1
6234,0.10085892484246811,FBXO30
819,0.10078100127831492,APCDD1L
16258,0.10076213544954195,SLC6A1
8601,0.10073302298818167,ITK
1841,0.10073024980338204,MEDAG
6602,0.10072470350614089,FOXS1
6560,0.10069004359452347,FOXD2
15830,0.10061890481073375,SH3YL1
11685,0.10049234845059779,NSMF
17181,0.10046787749882781,SYNPO2
5328,0.1004584691171207,EDDM3B
11127,0.10039420500952269,MS4A10
18452,0.10039145516402305,SCA11
11429,0.10038257567497702,NAGA
17865,0.1003571831492309,TMEM19
13436,0.10035028053739384,PLCD3
16452,0.10034704793929589,SNORA11
12218,0.10032942094196606,OLAH
667,0.10031644025048135,ANKDD1A
11321,0.10018505511340202,MYH3
14392,0.10011437283323964,RAB37
4307,0.1001036617062597,CSN2
1158,0.10008583001043274,ATG10
19979,0.10006853985407756,ZNF749
10678,0.10006575085613954,MED20
6721,0.09998588018987269,GAA
9867,0.09993458818003545,LINC01140
6665,0.09986635429595363,FUBP1
1472,0.09986549249167813,TAF3B1
15140,0.09984240303577199,RPS15AP10
4022,0.09984038105016939,COL12A1L
9433,0.09981252679659133,LEPR
9118,0.09979768843533172,KLK4
11995,0.09977637269603051,NR4A3
4028,0.09975858782592598,COL18A1
16931,0.09975090410692036,ST3GAL4
15919,0.09973724081174219,HPE2
739,0.09971790020233529,ANKS4B
12779,0.09969761778899792,PALLD
10558,0.09967608595047309,MAST1
10804,0.09962516775972256,TUBA3FP
7366,0.0995781779431319,GRB14
14661,0.09946286355993678,RCVRN
7933,0.09946227271673254,HNRNPU
2151,0.09944795045388405,INAVA
16105,0.09942709254156047,SLC28A1
19356,0.09941999067927462,ZBTB22
5234,0.0993950302134262,DUSP1
8283,0.09936052730601856,IGSF21
14152,0.09930351999969543,PSMD4
18060,0.09930169997289462,TNFSF8
10048,0.09929196587347194,MIR143HG
15800,0.09926202453125516,SH2D3C
17244,0.09923223550608488,TAF1B
16028,0.09920883032968505,SLC22A2
4722,0.09919766598155584,DDIT3
15115,0.0991939175436766,RPL9
15805,0.09916587517455823,SH2D7
18560,0.09916148971981993,TUFM
341,0.09912283981583575,ADD1
18246,0.09911695854279766,TRIB2
2292,0.09910745339251333,FNDC11
13051,0.09908826257838503,PDGFRB
13911,0.09901278265806665,PRELID2
6758,0.09901054268670446,GADD45G
7514,0.09899610359918448,GUCY2F
19987,0.09893729990770557,ZNF765
14304,0.09892648391821096,PWP1
633,0.09891314227644868,AMTN
15944,0.0988894003211552,SLA
9857,0.09886910178223134,LOC286367
1105,0.09882350207490649,ASF1A
14311,0.09880384929043019,KIAA0230
5513,0.0987992552265412,EMB
16954,0.09876305111892136,ST8SIA6
8900,0.09874497701929491,KIAA0895L
10874,0.09871868244291508,MKNK1
7436,0.09870939807191938,GSN
19597,0.098708089543116,ZNF202
1644,0.09862531434455582,NACB
260,0.0986211149736843,ACY3
18080,0.09854446165389362,CMD1D
1531,0.09853188753015946,BLVRA
14657,0.09837848678680734,RCOR1
116,0.09837789390023755,ABHD3
7245,0.0983766953839616,ADGRG7
9662,0.09835499892962334,HECTD2-AS1
13017,0.09831942096562252,PDC
920,0.09828185220522756,ARHGAP10
15493,0.09827541624543547,SCT
6708,0.09814944267901057,FZD6
11123,0.09812135678358097,MRS2P2
11356,0.09810911710356222,MYO1C
3015,0.09803214012865795,CBFA2T2
15871,0.09802530512368483,SIDT1
9247,0.0980243094305017,KRTAP2-2
11967,0.09802081399987665,NPY1R
19529,0.09801856484761619,ZMAT4
3205,0.09795080335923786,CCKBR
13855,0.0979007260190201,PQLC2
4966,0.09783400631711923,DLK1
3145,0.09782834497957361,SPICE1
18723,0.09777917423753463,UCKL1
17481,0.0977782980596048,TECTB
19755,0.09775500678626202,ZNF441
12710,0.097670143518175,P2X6
12628,0.0976267542218226,ORC5
2076,0.09762561452335652,MISP
2809,0.09762004428599472,CAAP1
3456,0.09761626343601713,CDC2L2
1546,0.09759895536310094,BMP8A
4844,0.09753256521414153,DGCR5
12845,0.09742965991112391,PART1
13093,0.09742625163721005,PDZD3
